OZone,DZone
8,90149
8,90152
8,90153
8,90157
8,90163
8,90176
8,90183
8,90185
8,90205
8,97068
9,58008
9,90007
9,90015
9,90016
9,90032
9,90033
9,90034
9,90042
9,90043
9,90046
9,90050
9,90052
9,90055
9,90056
9,90057
9,90059
9,90064
9,90068
9,90078
9,90087
9,90088
9,90090
9,90091
9,90095
9,90097
9,90098
9,90105
9,90111
9,90112
9,90117
9,90119
9,90120
9,90128
9,90143
9,90149
9,90152
9,90153
9,90157
9,90158
9,90161
9,90176
9,97068
10,90004
10,90015
10,90019
10,90024
10,90025
10,90032
10,90033
10,90034
10,90036
10,90042
10,90045
10,90046
10,90050
10,90055
10,90056
10,90063
10,90064
10,90068
10,90080
10,90087
10,90088
10,90091
10,90095
10,90097
10,90099
10,90107
10,90112
10,90119
10,90128
10,90144
10,90149
10,90152
10,90153
10,90157
10,90163
10,90183
10,90185
10,90205
11,90004
11,90015
11,90019
11,90024
11,90025
11,90032
11,90033
11,90034
11,90036
11,90043
11,90045
11,90046
11,90050
11,90055
11,90056
11,90063
11,90064
11,90068
11,90080
11,90087
11,90088
11,90095
11,90097
11,90099
11,90107
11,90112
11,90119
11,90120
11,90128
11,90144
11,90149
11,90152
11,90153
11,90157
11,90183
11,90185
11,90205
12,90004
12,90015
12,90019
12,90024
12,90025
12,90032
12,90033
12,90034
12,90036
12,90037
12,90041
12,90045
12,90046
12,90050
12,90055
12,90056
12,90063
12,90064
12,90066
12,90068
12,90080
12,90087
12,90088
12,90091
12,90092
12,90093
12,90095
12,90097
12,90099
12,90107
12,90112
12,90119
12,90120
12,90128
12,90140
12,90144
12,90149
12,90152
12,90153
12,90157
12,90163
12,90183
12,90185
12,90205
13,90004
13,90013
13,90015
13,90019
13,90024
13,90025
13,90032
13,90033
13,90034
13,90036
13,90037
13,90041
13,90042
13,90043
13,90045
13,90046
13,90050
13,90055
13,90056
13,90063
13,90064
13,90068
13,90072
13,90078
13,90080
13,90087
13,90088
13,90091
13,90092
13,90095
13,90097
13,90099
13,90107
13,90112
13,90119
13,90120
13,90128
13,90144
13,90149
13,90152
13,90153
13,90157
13,90183
13,90185
13,90205
14,90004
14,90013
14,90015
14,90019
14,90024
14,90025
14,90032
14,90033
14,90034
14,90036
14,90037
14,90038
14,90041
14,90043
14,90045
14,90046
14,90047
14,90050
14,90054
14,90055
14,90056
14,90063
14,90064
14,90066
14,90068
14,90072
14,90078
14,90080
14,90087
14,90088
14,90091
14,90092
14,90095
14,90097
14,90099
14,90107
14,90112
14,90119
14,90120
14,90128
14,90140
14,90144
14,90149
14,90152
14,90153
14,90157
14,90176
14,90183
14,90185
14,90205
15,90004
15,90005
15,90013
15,90015
15,90019
15,90024
15,90025
15,90027
15,90032
15,90033
15,90034
15,90036
15,90037
15,90038
15,90039
15,90040
15,90041
15,90042
15,90043
15,90045
15,90046
15,90050
15,90054
15,90055
15,90056
15,90057
15,90063
15,90064
15,90066
15,90067
15,90068
15,90072
15,90078
15,90080
15,90083
15,90086
15,90087
15,90088
15,90090
15,90091
15,90092
15,90095
15,90097
15,90099
15,90101
15,90107
15,90112
15,90114
15,90119
15,90120
15,90123
15,90125
15,90128
15,90143
15,90144
15,90149
15,90152
15,90153
15,90157
15,90160
15,90163
15,90164
15,90183
15,90185
15,90205
15,97068
16,90004
16,90013
16,90015
16,90019
16,90024
16,90025
16,90027
16,90032
16,90033
16,90034
16,90036
16,90037
16,90038
16,90041
16,90042
16,90043
16,90045
16,90046
16,90047
16,90050
16,90054
16,90055
16,90056
16,90057
16,90063
16,90064
16,90065
16,90066
16,90068
16,90072
16,90075
16,90078
16,90080
16,90087
16,90088
16,90090
16,90091
16,90092
16,90093
16,90095
16,90097
16,90098
16,90099
16,90101
16,90105
16,90107
16,90112
16,90114
16,90117
16,90119
16,90120
16,90125
16,90128
16,90139
16,90140
16,90143
16,90144
16,90149
16,90152
16,90153
16,90157
16,90163
16,90164
16,90165
16,90176
16,90183
16,90185
16,90205
16,97068
17,90004
17,90005
17,90013
17,90015
17,90019
17,90024
17,90025
17,90027
17,90032
17,90033
17,90034
17,90036
17,90037
17,90038
17,90039
17,90041
17,90042
17,90043
17,90045
17,90046
17,90047
17,90050
17,90054
17,90055
17,90056
17,90062
17,90063
17,90064
17,90065
17,90066
17,90067
17,90068
17,90072
17,90078
17,90080
17,90083
17,90087
17,90088
17,90090
17,90091
17,90092
17,90093
17,90095
17,90097
17,90099
17,90101
17,90107
17,90112
17,90114
17,90119
17,90120
17,90123
17,90125
17,90128
17,90140
17,90143
17,90144
17,90149
17,90152
17,90153
17,90157
17,90160
17,90163
17,90164
17,90176
17,90183
17,90185
17,90205
17,97068
18,90004
18,90005
18,90012
18,90013
18,90015
18,90019
18,90024
18,90025
18,90027
18,90032
18,90033
18,90034
18,90036
18,90037
18,90038
18,90039
18,90040
18,90041
18,90042
18,90043
18,90045
18,90046
18,90047
18,90050
18,90053
18,90054
18,90055
18,90056
18,90057
18,90062
18,90063
18,90064
18,90065
18,90066
18,90067
18,90068
18,90072
18,90075
18,90078
18,90080
18,90083
18,90086
18,90087
18,90088
18,90090
18,90091
18,90092
18,90093
18,90095
18,90097
18,90098
18,90099
18,90101
18,90104
18,90105
18,90107
18,90112
18,90114
18,90119
18,90120
18,90123
18,90125
18,90126
18,90127
18,90128
18,90140
18,90143
18,90144
18,90145
18,90149
18,90152
18,90153
18,90157
18,90160
18,90163
18,90164
18,90165
18,90175
18,90176
18,90183
18,90185
18,90205
18,97068
19,90004
19,90005
19,90013
19,90015
19,90019
19,90024
19,90025
19,90027
19,90032
19,90033
19,90034
19,90036
19,90037
19,90038
19,90039
19,90041
19,90042
19,90043
19,90045
19,90046
19,90047
19,90050
19,90054
19,90055
19,90056
19,90057
19,90063
19,90064
19,90065
19,90066
19,90067
19,90068
19,90072
19,90078
19,90080
19,90083
19,90086
19,90087
19,90088
19,90090
19,90091
19,90092
19,90093
19,90095
19,90097
19,90098
19,90099
19,90101
19,90107
19,90112
19,90114
19,90119
19,90120
19,90123
19,90125
19,90127
19,90128
19,90140
19,90143
19,90144
19,90149
19,90152
19,90153
19,90157
19,90160
19,90163
19,90164
19,90175
19,90176
19,90183
19,90185
19,90205
19,97068
20,90004
20,90005
20,90013
20,90015
20,90019
20,90024
20,90025
20,90027
20,90032
20,90033
20,90034
20,90036
20,90037
20,90038
20,90039
20,90041
20,90042
20,90045
20,90046
20,90047
20,90049
20,90050
20,90054
20,90055
20,90056
20,90057
20,90063
20,90064
20,90065
20,90066
20,90067
20,90068
20,90072
20,90078
20,90080
20,90083
20,90087
20,90088
20,90090
20,90091
20,90092
20,90093
20,90095
20,90097
20,90098
20,90099
20,90101
20,90105
20,90107
20,90112
20,90114
20,90119
20,90120
20,90123
20,90125
20,90127
20,90128
20,90140
20,90143
20,90144
20,90149
20,90152
20,90153
20,90157
20,90160
20,90163
20,90164
20,90176
20,90183
20,90185
20,90205
20,97068
21,90004
21,90005
21,90013
21,90015
21,90019
21,90024
21,90025
21,90027
21,90028
21,90032
21,90033
21,90034
21,90036
21,90037
21,90038
21,90039
21,90041
21,90042
21,90043
21,90045
21,90046
21,90047
21,90050
21,90054
21,90055
21,90056
21,90057
21,90063
21,90064
21,90065
21,90066
21,90067
21,90068
21,90072
21,90075
21,90078
21,90080
21,90083
21,90087
21,90088
21,90090
21,90091
21,90092
21,90093
21,90095
21,90097
21,90098
21,90099
21,90101
21,90105
21,90107
21,90112
21,90114
21,90117
21,90119
21,90120
21,90123
21,90125
21,90128
21,90139
21,90140
21,90143
21,90144
21,90149
21,90152
21,90153
21,90157
21,90160
21,90163
21,90164
21,90165
21,90176
21,90183
21,90185
21,90205
21,97068
22,90004
22,90005
22,90013
22,90015
22,90019
22,90024
22,90025
22,90027
22,90028
22,90032
22,90033
22,90034
22,90036
22,90037
22,90038
22,90040
22,90041
22,90042
22,90043
22,90045
22,90046
22,90047
22,90050
22,90054
22,90055
22,90056
22,90057
22,90059
22,90063
22,90064
22,90065
22,90066
22,90067
22,90068
22,90072
22,90075
22,90078
22,90080
22,90083
22,90087
22,90088
22,90090
22,90091
22,90092
22,90093
22,90095
22,90097
22,90098
22,90099
22,90101
22,90102
22,90105
22,90107
22,90111
22,90112
22,90114
22,90117
22,90119
22,90120
22,90125
22,90128
22,90139
22,90140
22,90143
22,90144
22,90148
22,90149
22,90152
22,90153
22,90157
22,90160
22,90163
22,90164
22,90165
22,90176
22,90183
22,90185
22,90205
22,97068
23,90004
23,90013
23,90015
23,90019
23,90024
23,90025
23,90027
23,90028
23,90032
23,90033
23,90034
23,90036
23,90037
23,90038
23,90041
23,90042
23,90043
23,90045
23,90046
23,90047
23,90050
23,90054
23,90055
23,90056
23,90057
23,90059
23,90063
23,90064
23,90065
23,90066
23,90067
23,90068
23,90072
23,90075
23,90078
23,90080
23,90084
23,90087
23,90088
23,90090
23,90091
23,90092
23,90093
23,90095
23,90097
23,90098
23,90099
23,90101
23,90102
23,90105
23,90107
23,90111
23,90112
23,90114
23,90117
23,90119
23,90120
23,90128
23,90139
23,90140
23,90143
23,90144
23,90148
23,90149
23,90152
23,90153
23,90157
23,90160
23,90163
23,90165
23,90176
23,90183
23,90185
23,90205
23,97068
24,90004
24,90013
24,90015
24,90019
24,90024
24,90025
24,90032
24,90033
24,90034
24,90036
24,90037
24,90038
24,90041
24,90042
24,90043
24,90045
24,90046
24,90047
24,90050
24,90055
24,90056
24,90057
24,90059
24,90063
24,90064
24,90065
24,90066
24,90068
24,90072
24,90075
24,90078
24,90080
24,90087
24,90088
24,90090
24,90091
24,90092
24,90095
24,90097
24,90098
24,90099
24,90101
24,90105
24,90107
24,90111
24,90112
24,90117
24,90119
24,90120
24,90128
24,90139
24,90140
24,90143
24,90144
24,90149
24,90152
24,90153
24,90157
24,90163
24,90165
24,90176
24,90183
24,90185
24,90205
24,97068
25,90015
25,90019
25,90024
25,90032
25,90033
25,90034
25,90036
25,90037
25,90041
25,90042
25,90043
25,90045
25,90046
25,90050
25,90055
25,90056
25,90057
25,90059
25,90063
25,90064
25,90068
25,90078
25,90080
25,90088
25,90090
25,90091
25,90092
25,90095
25,90097
25,90098
25,90099
25,90101
25,90105
25,90107
25,90111
25,90112
25,90117
25,90119
25,90120
25,90128
25,90139
25,90140
25,90143
25,90144
25,90149
25,90152
25,90153
25,90157
25,90163
25,90165
25,90176
25,90183
25,90185
25,90205
25,97068
26,58008
26,90004
26,90007
26,90015
26,90016
26,90019
26,90023
26,90024
26,90030
26,90032
26,90033
26,90034
26,90036
26,90037
26,90041
26,90042
26,90043
26,90045
26,90046
26,90047
26,90050
26,90052
26,90055
26,90056
26,90057
26,90059
26,90063
26,90064
26,90068
26,90078
26,90080
26,90087
26,90088
26,90090
26,90091
26,90092
26,90095
26,90097
26,90098
26,90099
26,90101
26,90105
26,90107
26,90111
26,90112
26,90117
26,90119
26,90120
26,90128
26,90140
26,90143
26,90149
26,90152
26,90153
26,90157
26,90158
26,90161
26,90163
26,90176
26,90183
26,90185
26,90205
26,97068
27,90007
27,90015
27,90016
27,90019
27,90023
27,90024
27,90028
27,90030
27,90032
27,90033
27,90034
27,90036
27,90037
27,90041
27,90042
27,90043
27,90045
27,90046
27,90047
27,90050
27,90052
27,90055
27,90056
27,90057
27,90059
27,90064
27,90065
27,90068
27,90075
27,90078
27,90080
27,90087
27,90088
27,90090
27,90091
27,90093
27,90095
27,90096
27,90097
27,90098
27,90101
27,90105
27,90111
27,90112
27,90117
27,90119
27,90120
27,90128
27,90139
27,90140
27,90143
27,90148
27,90149
27,90152
27,90153
27,90157
27,90158
27,90161
27,90163
27,90171
27,90176
27,90185
27,90205
27,97068
28,90004
28,90013
28,90015
28,90019
28,90024
28,90025
28,90027
28,90032
28,90033
28,90034
28,90036
28,90037
28,90038
28,90041
28,90042
28,90043
28,90045
28,90046
28,90047
28,90050
28,90054
28,90055
28,90056
28,90057
28,90059
28,90063
28,90064
28,90065
28,90066
28,90067
28,90068
28,90072
28,90075
28,90078
28,90080
28,90087
28,90088
28,90090
28,90091
28,90092
28,90093
28,90095
28,90097
28,90098
28,90099
28,90101
28,90105
28,90107
28,90111
28,90112
28,90117
28,90119
28,90120
28,90128
28,90139
28,90140
28,90143
28,90144
28,90148
28,90149
28,90152
28,90153
28,90157
28,90161
28,90163
28,90165
28,90176
28,90183
28,90185
28,90205
28,97068
29,90013
29,90015
29,90019
29,90024
29,90025
29,90032
29,90033
29,90034
29,90036
29,90037
29,90041
29,90042
29,90043
29,90045
29,90046
29,90047
29,90050
29,90055
29,90056
29,90057
29,90059
29,90063
29,90064
29,90065
29,90066
29,90068
29,90072
29,90078
29,90080
29,90087
29,90088
29,90090
29,90091
29,90092
29,90095
29,90097
29,90098
29,90099
29,90101
29,90105
29,90107
29,90111
29,90112
29,90117
29,90119
29,90120
29,90128
29,90139
29,90140
29,90143
29,90144
29,90149
29,90152
29,90153
29,90157
29,90163
29,90176
29,90183
29,90185
29,90205
29,97068
30,90004
30,90007
30,90015
30,90016
30,90019
30,90023
30,90024
30,90032
30,90033
30,90034
30,90036
30,90037
30,90041
30,90042
30,90043
30,90045
30,90046
30,90047
30,90050
30,90052
30,90055
30,90056
30,90057
30,90059
30,90063
30,90064
30,90065
30,90068
30,90075
30,90078
30,90080
30,90087
30,90088
30,90090
30,90091
30,90092
30,90093
30,90095
30,90096
30,90097
30,90098
30,90099
30,90101
30,90105
30,90107
30,90111
30,90112
30,90117
30,90119
30,90120
30,90128
30,90139
30,90140
30,90143
30,90149
30,90152
30,90153
30,90157
30,90158
30,90161
30,90163
30,90171
30,90176
30,90183
30,90185
30,90205
30,97068
31,58008
31,90003
31,90007
31,90013
31,90015
31,90016
31,90019
31,90023
31,90024
31,90025
31,90028
31,90030
31,90032
31,90033
31,90034
31,90036
31,90037
31,90041
31,90042
31,90043
31,90045
31,90046
31,90047
31,90049
31,90050
31,90052
31,90055
31,90056
31,90057
31,90059
31,90063
31,90064
31,90065
31,90066
31,90067
31,90068
31,90075
31,90078
31,90080
31,90084
31,90087
31,90088
31,90089
31,90090
31,90091
31,90092
31,90093
31,90095
31,90096
31,90097
31,90098
31,90101
31,90102
31,90105
31,90107
31,90109
31,90111
31,90112
31,90117
31,90119
31,90120
31,90128
31,90139
31,90140
31,90143
31,90144
31,90148
31,90149
31,90152
31,90153
31,90157
31,90158
31,90159
31,90160
31,90161
31,90163
31,90165
31,90176
31,90185
31,90205
31,97068
32,90004
32,90013
32,90015
32,90019
32,90024
32,90025
32,90027
32,90032
32,90033
32,90034
32,90036
32,90037
32,90041
32,90042
32,90043
32,90045
32,90046
32,90050
32,90054
32,90055
32,90056
32,90059
32,90062
32,90063
32,90064
32,90065
32,90066
32,90067
32,90068
32,90078
32,90080
32,90087
32,90088
32,90090
32,90091
32,90092
32,90093
32,90095
32,90097
32,90099
32,90107
32,90112
32,90114
32,90119
32,90120
32,90123
32,90125
32,90128
32,90140
32,90143
32,90144
32,90149
32,90152
32,90153
32,90157
32,90163
32,90164
32,90176
32,90183
32,90185
32,90205
33,90004
33,90013
33,90015
33,90019
33,90024
33,90025
33,90027
33,90032
33,90033
33,90034
33,90036
33,90037
33,90041
33,90042
33,90043
33,90045
33,90046
33,90049
33,90050
33,90054
33,90055
33,90056
33,90057
33,90059
33,90062
33,90063
33,90064
33,90065
33,90066
33,90067
33,90068
33,90078
33,90080
33,90084
33,90087
33,90088
33,90090
33,90091
33,90092
33,90093
33,90095
33,90097
33,90098
33,90099
33,90101
33,90105
33,90107
33,90112
33,90114
33,90119
33,90120
33,90123
33,90125
33,90128
33,90133
33,90140
33,90143
33,90144
33,90149
33,90152
33,90153
33,90157
33,90163
33,90164
33,90176
33,90183
33,90185
33,90205
33,97068
34,90004
34,90013
34,90015
34,90019
34,90024
34,90025
34,90032
34,90033
34,90034
34,90036
34,90037
34,90041
34,90042
34,90043
34,90045
34,90046
34,90050
34,90054
34,90055
34,90056
34,90062
34,90063
34,90064
34,90066
34,90068
34,90078
34,90080
34,90087
34,90088
34,90090
34,90091
34,90092
34,90093
34,90095
34,90097
34,90099
34,90107
34,90112
34,90119
34,90120
34,90125
34,90128
34,90140
34,90144
34,90149
34,90152
34,90153
34,90157
34,90163
34,90164
34,90183
34,90185
34,90205
35,90004
35,90013
35,90015
35,90019
35,90024
35,90025
35,90027
35,90032
35,90033
35,90034
35,90036
35,90037
35,90041
35,90042
35,90043
35,90045
35,90046
35,90049
35,90050
35,90054
35,90055
35,90056
35,90062
35,90063
35,90064
35,90065
35,90066
35,90068
35,90072
35,90078
35,90080
35,90087
35,90088
35,90090
35,90091
35,90092
35,90093
35,90095
35,90097
35,90099
35,90101
35,90107
35,90112
35,90114
35,90119
35,90120
35,90125
35,90128
35,90140
35,90143
35,90144
35,90149
35,90152
35,90153
35,90157
35,90163
35,90164
35,90176
35,90183
35,90185
35,90205
36,90004
36,90013
36,90015
36,90019
36,90024
36,90025
36,90027
36,90032
36,90033
36,90034
36,90036
36,90037
36,90038
36,90041
36,90042
36,90043
36,90045
36,90046
36,90047
36,90050
36,90054
36,90055
36,90056
36,90063
36,90064
36,90065
36,90066
36,90067
36,90068
36,90072
36,90078
36,90080
36,90087
36,90088
36,90090
36,90091
36,90092
36,90093
36,90095
36,90097
36,90099
36,90101
36,90107
36,90112
36,90114
36,90119
36,90120
36,90123
36,90128
36,90140
36,90143
36,90144
36,90149
36,90152
36,90153
36,90157
36,90163
36,90164
36,90176
36,90183
36,90185
36,90205
37,90004
37,90005
37,90013
37,90015
37,90019
37,90024
37,90025
37,90027
37,90032
37,90033
37,90034
37,90036
37,90037
37,90038
37,90039
37,90041
37,90042
37,90043
37,90045
37,90046
37,90047
37,90049
37,90050
37,90054
37,90055
37,90056
37,90057
37,90062
37,90063
37,90064
37,90065
37,90066
37,90067
37,90068
37,90072
37,90078
37,90080
37,90083
37,90084
37,90087
37,90088
37,90090
37,90091
37,90092
37,90093
37,90095
37,90097
37,90098
37,90099
37,90101
37,90107
37,90112
37,90114
37,90119
37,90120
37,90123
37,90128
37,90140
37,90143
37,90144
37,90149
37,90152
37,90153
37,90157
37,90160
37,90163
37,90164
37,90175
37,90176
37,90183
37,90185
37,90205
37,97068
38,90004
38,90005
38,90013
38,90015
38,90019
38,90024
38,90025
38,90027
38,90028
38,90032
38,90033
38,90034
38,90036
38,90037
38,90038
38,90039
38,90040
38,90041
38,90042
38,90043
38,90045
38,90046
38,90047
38,90049
38,90050
38,90054
38,90055
38,90056
38,90057
38,90062
38,90063
38,90064
38,90065
38,90066
38,90067
38,90068
38,90072
38,90078
38,90080
38,90083
38,90084
38,90086
38,90087
38,90088
38,90090
38,90091
38,90092
38,90093
38,90095
38,90097
38,90098
38,90099
38,90101
38,90107
38,90112
38,90114
38,90119
38,90120
38,90123
38,90125
38,90127
38,90128
38,90140
38,90143
38,90144
38,90149
38,90152
38,90153
38,90157
38,90160
38,90163
38,90164
38,90175
38,90176
38,90183
38,90185
38,90205
38,97068
39,90004
39,90005
39,90012
39,90013
39,90014
39,90015
39,90019
39,90024
39,90025
39,90027
39,90028
39,90032
39,90033
39,90034
39,90036
39,90037
39,90038
39,90039
39,90040
39,90041
39,90042
39,90043
39,90045
39,90046
39,90047
39,90049
39,90050
39,90053
39,90054
39,90055
39,90056
39,90057
39,90059
39,90062
39,90063
39,90064
39,90065
39,90066
39,90067
39,90068
39,90072
39,90075
39,90078
39,90080
39,90083
39,90086
39,90087
39,90088
39,90090
39,90091
39,90092
39,90093
39,90095
39,90097
39,90098
39,90099
39,90101
39,90104
39,90105
39,90107
39,90111
39,90112
39,90114
39,90117
39,90119
39,90120
39,90123
39,90125
39,90126
39,90127
39,90128
39,90131
39,90133
39,90139
39,90140
39,90143
39,90144
39,90145
39,90148
39,90149
39,90152
39,90153
39,90157
39,90159
39,90160
39,90163
39,90164
39,90165
39,90175
39,90176
39,90183
39,90185
39,90205
39,97068
40,90004
40,90005
40,90013
40,90014
40,90015
40,90019
40,90023
40,90024
40,90025
40,90027
40,90028
40,90032
40,90033
40,90034
40,90036
40,90037
40,90038
40,90039
40,90040
40,90041
40,90042
40,90043
40,90045
40,90046
40,90047
40,90049
40,90050
40,90054
40,90055
40,90056
40,90057
40,90059
40,90062
40,90063
40,90064
40,90065
40,90066
40,90067
40,90068
40,90072
40,90075
40,90078
40,90080
40,90083
40,90086
40,90087
40,90088
40,90090
40,90091
40,90092
40,90093
40,90095
40,90097
40,90098
40,90099
40,90101
40,90102
40,90105
40,90107
40,90111
40,90112
40,90114
40,90117
40,90119
40,90120
40,90123
40,90125
40,90126
40,90127
40,90128
40,90133
40,90137
40,90140
40,90143
40,90144
40,90145
40,90148
40,90149
40,90152
40,90153
40,90157
40,90159
40,90160
40,90163
40,90164
40,90165
40,90175
40,90176
40,90183
40,90185
40,90205
40,97068
41,90004
41,90005
41,90013
41,90015
41,90019
41,90023
41,90024
41,90025
41,90027
41,90028
41,90032
41,90033
41,90034
41,90036
41,90037
41,90038
41,90039
41,90040
41,90041
41,90042
41,90043
41,90045
41,90046
41,90047
41,90049
41,90050
41,90054
41,90055
41,90056
41,90057
41,90059
41,90063
41,90064
41,90065
41,90066
41,90067
41,90068
41,90072
41,90075
41,90078
41,90080
41,90083
41,90084
41,90087
41,90088
41,90090
41,90091
41,90092
41,90093
41,90095
41,90097
41,90098
41,90099
41,90101
41,90102
41,90104
41,90105
41,90107
41,90109
41,90111
41,90112
41,90114
41,90117
41,90119
41,90120
41,90123
41,90125
41,90126
41,90127
41,90128
41,90137
41,90139
41,90140
41,90143
41,90144
41,90145
41,90148
41,90149
41,90152
41,90153
41,90157
41,90158
41,90159
41,90160
41,90161
41,90163
41,90164
41,90165
41,90175
41,90176
41,90183
41,90185
41,90205
41,97068
42,90004
42,90005
42,90013
42,90015
42,90016
42,90019
42,90023
42,90024
42,90025
42,90027
42,90028
42,90032
42,90033
42,90034
42,90036
42,90037
42,90038
42,90039
42,90040
42,90041
42,90042
42,90043
42,90045
42,90046
42,90047
42,90049
42,90050
42,90054
42,90055
42,90056
42,90057
42,90059
42,90063
42,90064
42,90065
42,90066
42,90067
42,90068
42,90072
42,90075
42,90078
42,90080
42,90083
42,90084
42,90087
42,90088
42,90090
42,90091
42,90092
42,90093
42,90095
42,90097
42,90098
42,90099
42,90101
42,90102
42,90105
42,90107
42,90109
42,90111
42,90112
42,90114
42,90117
42,90119
42,90120
42,90123
42,90125
42,90128
42,90137
42,90139
42,90140
42,90143
42,90144
42,90148
42,90149
42,90152
42,90153
42,90155
42,90157
42,90158
42,90159
42,90160
42,90161
42,90163
42,90164
42,90165
42,90176
42,90183
42,90185
42,90205
42,97068
43,90004
43,90005
43,90007
43,90009
43,90010
43,90013
43,90015
43,90016
43,90019
43,90023
43,90024
43,90025
43,90027
43,90028
43,90029
43,90032
43,90033
43,90034
43,90035
43,90036
43,90037
43,90038
43,90039
43,90040
43,90041
43,90042
43,90043
43,90045
43,90046
43,90047
43,90049
43,90050
43,90052
43,90054
43,90055
43,90056
43,90057
43,90059
43,90063
43,90064
43,90065
43,90066
43,90067
43,90068
43,90072
43,90075
43,90078
43,90080
43,90081
43,90083
43,90084
43,90087
43,90088
43,90090
43,90091
43,90092
43,90093
43,90095
43,90096
43,90097
43,90098
43,90099
43,90101
43,90102
43,90104
43,90105
43,90107
43,90109
43,90111
43,90112
43,90114
43,90117
43,90119
43,90120
43,90123
43,90125
43,90126
43,90127
43,90128
43,90137
43,90139
43,90140
43,90143
43,90144
43,90148
43,90149
43,90152
43,90153
43,90155
43,90157
43,90158
43,90159
43,90160
43,90161
43,90163
43,90164
43,90165
43,90175
43,90176
43,90183
43,90185
43,90205
43,97068
44,90004
44,90005
44,90007
44,90013
44,90014
44,90015
44,90016
44,90019
44,90023
44,90024
44,90025
44,90027
44,90028
44,90029
44,90032
44,90033
44,90034
44,90036
44,90037
44,90038
44,90039
44,90040
44,90041
44,90042
44,90043
44,90044
44,90045
44,90046
44,90047
44,90049
44,90050
44,90052
44,90054
44,90055
44,90056
44,90057
44,90059
44,90063
44,90064
44,90065
44,90066
44,90067
44,90068
44,90072
44,90075
44,90078
44,90080
44,90083
44,90084
44,90087
44,90088
44,90090
44,90091
44,90092
44,90093
44,90095
44,90096
44,90097
44,90098
44,90099
44,90101
44,90102
44,90105
44,90107
44,90109
44,90111
44,90112
44,90114
44,90117
44,90119
44,90120
44,90123
44,90125
44,90127
44,90128
44,90137
44,90139
44,90140
44,90143
44,90144
44,90148
44,90149
44,90152
44,90153
44,90155
44,90157
44,90158
44,90159
44,90160
44,90161
44,90163
44,90164
44,90165
44,90176
44,90183
44,90185
44,90205
44,97068
45,90004
45,90005
45,90013
45,90015
45,90016
45,90019
45,90023
45,90024
45,90025
45,90027
45,90028
45,90032
45,90033
45,90034
45,90036
45,90037
45,90038
45,90039
45,90041
45,90042
45,90043
45,90044
